VCD info: dumpfile testbench.vcd opened for output.
1101101,1001111,0000110,0111111,0111111,0111111
1111101,1001111,0000110,0111111,0111111,0111111
0000111,1001111,0000110,0111111,0111111,0111111
1111111,1001111,0000110,0111111,0111111,0111111
1101111,1001111,0000110,0111111,0111111,0111111
0111111,1100110,0000110,0111111,0111111,0111111
0000110,1100110,0000110,0111111,0111111,0111111
1011011,1100110,0000110,0111111,0111111,0111111
1001111,1100110,0000110,0111111,0111111,0111111
1100110,1100110,0000110,0111111,0111111,0111111
1101101,1100110,0000110,0111111,0111111,0111111
1111101,1100110,0000110,0111111,0111111,0111111
0000111,1100110,0000110,0111111,0111111,0111111
1111111,1100110,0000110,0111111,0111111,0111111
1101111,1100110,0000110,0111111,0111111,0111111
0111111,1101101,0000110,0111111,0111111,0111111
0000110,1101101,0000110,0111111,0111111,0111111
1011011,1101101,0000110,0111111,0111111,0111111
1001111,1101101,0000110,0111111,0111111,0111111
1100110,1101101,0000110,0111111,0111111,0111111
1101101,1101101,0000110,0111111,0111111,0111111
1111101,1101101,0000110,0111111,0111111,0111111
0000111,1101101,0000110,0111111,0111111,0111111
1111111,1101101,0000110,0111111,0111111,0111111
1101111,1101101,0000110,0111111,0111111,0111111
0111111,1111101,0000110,0111111,0111111,0111111
0000110,1111101,0000110,0111111,0111111,0111111
1011011,1111101,0000110,0111111,0111111,0111111
1001111,1111101,0000110,0111111,0111111,0111111
0111111,0111111,1011011,0111111,0111111,0111111
0000110,0111111,1011011,0111111,0111111,0111111
1011011,0111111,1011011,0111111,0111111,0111111
1001111,0111111,1011011,0111111,0111111,0111111
1100110,0111111,1011011,0111111,0111111,0111111
1101101,0111111,1011011,0111111,0111111,0111111
1111101,0111111,1011011,0111111,0111111,0111111
0000111,0111111,1011011,0111111,0111111,0111111
1111111,0111111,1011011,0111111,0111111,0111111
1101111,0111111,1011011,0111111,0111111,0111111
0111111,0000110,1011011,0111111,0111111,0111111
0000110,0000110,1011011,0111111,0111111,0111111
